,index,hhid18,hh_earned,hh_financial,hh_real_est,hh_social_ins,hh_transfer,hh_others,hh_inc,hh_size,grp,home_own,house_type,zerotofive_n,sixtotwenty_n,overcollege_n,consumption_tot,savings_tot,pid,gender,HH_position,age,live_together,college_educ,educ_years,residence,work,get_social_benefit,religion,marriage,health,exercise,smoke,alcohol,happiness
0,0,1,3900.0,0.0,0.0,360.0,253.0,0.0,4513.0,2.0,0,1.0,1.0,0.0,0.0,0.0,140.0,0.0,101,1,10,74,1,0,9.0,11,1,2,1,5,2,1.0,3,3,5.75
1,1,7258,3300.0,0.0,0.0,0.0,0.0,0.0,3300.0,1.0,0,2.0,4.0,0.0,0.0,0.0,120.0,40.0,102,0,10,47,1,0,12.0,8,1,3,1,5,3,4.0,3,1,5.0
2,2,6034,1310.0,0.0,0.0,240.0,0.0,0.0,1550.0,1.0,0,2.0,2.0,0.0,0.0,0.0,80.0,0.0,201,0,10,64,1,0,12.0,1,1,1,3,4,2,4.0,3,3,7.0
3,3,2,900.0,0.0,0.0,0.0,0.0,0.0,900.0,1.0,0,2.0,2.0,0.0,0.0,0.0,79.0,20.0,202,1,10,61,1,0,12.0,1,1,3,3,4,3,4.0,3,3,6.5
4,4,8589,3060.0,0.0,0.0,0.0,0.0,0.0,3060.0,4.0,0,2.0,2.0,2.0,0.0,0.0,150.0,50.0,203,1,20,36,1,1,14.0,1,0,3,1,2,2,4.0,3,1,5.0
5,5,4,6960.0,0.0,0.0,0.0,0.0,0.0,6960.0,3.0,0,1.0,3.0,0.0,1.0,0.0,360.0,225.0,401,0,10,45,1,1,16.0,1,1,3,1,2,2,1.0,1,1,8.0
6,6,4,6960.0,0.0,0.0,0.0,0.0,0.0,6960.0,3.0,0,1.0,3.0,0.0,1.0,0.0,360.0,225.0,402,1,20,46,1,1,14.0,1,1,3,4,2,3,4.0,3,3,8.0
7,7,6,200.0,0.0,0.0,0.0,403.0,0.0,603.0,2.0,0,1.0,4.0,0.0,0.0,0.0,40.0,0.0,602,1,10,80,1,0,6.0,1,1,3,3,5,3,4.0,3,1,7.0
8,8,9,12000.0,0.0,0.0,0.0,0.0,0.0,12000.0,3.0,0,3.0,2.0,0.0,1.0,0.0,650.0,150.0,902,1,10,45,1,1,18.0,1,1,3,1,2,2,4.0,3,3,8.5
9,9,6056,7300.0,0.0,-1.0,0.0,0.0,0.0,7299.0,4.0,0,1.0,2.0,0.0,2.0,0.0,500.0,130.0,903,1,20,43,1,1,16.0,1,0,3,4,2,2,2.0,3,1,6.0
10,10,10,0.0,0.0,0.0,0.0,1220.0,0.0,1220.0,1.0,0,1.0,2.0,0.0,0.0,0.0,80.0,0.0,1001,1,10,61,1,0,0.0,8,0,3,1,4,2,4.0,3,3,3.75
11,11,12,6960.0,0.0,0.0,0.0,0.0,30.0,6990.0,4.0,0,1.0,2.0,0.0,2.0,0.0,400.0,90.0,1201,1,20,39,1,1,16.0,8,1,1,3,2,2,1.0,3,1,6.5
12,12,12,6960.0,0.0,0.0,0.0,0.0,30.0,6990.0,4.0,0,1.0,2.0,0.0,2.0,0.0,400.0,90.0,1203,0,10,45,1,1,16.0,8,1,3,3,2,2,1.0,3,1,7.0
13,15,5048,9600.0,0.0,0.0,0.0,0.0,0.0,9600.0,3.0,0,1.0,2.0,0.0,1.0,0.0,600.0,250.0,1403,0,10,45,1,0,12.0,8,1,3,1,2,2,1.0,1,1,4.0
14,16,15,5640.0,0.0,0.0,0.0,0.0,0.0,5640.0,2.0,0,2.0,3.0,0.0,0.0,0.0,250.0,150.0,1502,1,10,60,1,0,9.0,5,1,3,2,3,2,4.0,3,1,4.5
15,17,15,5640.0,0.0,0.0,0.0,0.0,0.0,5640.0,2.0,0,2.0,3.0,0.0,0.0,0.0,250.0,150.0,1503,0,11,36,1,1,14.0,5,1,3,1,1,2,4.0,1,1,3.0
16,18,16,1008.0,0.0,240.0,240.0,163.0,0.0,1651.0,1.0,0,3.0,1.0,0.0,0.0,0.0,70.0,60.0,1601,1,10,67,1,0,0.0,1,1,2,1,5,3,4.0,2,1,4.75
17,19,18,700.0,0.0,0.0,356.0,312.0,0.0,1368.0,5.0,0,1.0,3.0,0.0,0.0,0.0,130.0,50.0,1801,0,10,70,1,0,6.0,1,0,1,1,2,4,4.0,3,1,6.0
18,20,18,700.0,0.0,0.0,356.0,312.0,0.0,1368.0,5.0,0,1.0,3.0,0.0,0.0,0.0,130.0,50.0,1802,1,20,65,1,0,6.0,1,1,1,4,2,3,1.0,3,3,6.0
19,21,20,2860.0,0.0,0.0,0.0,0.0,0.0,2860.0,4.0,0,2.0,4.0,0.0,0.0,0.0,270.0,40.0,2001,0,10,53,1,0,9.0,1,1,3,1,2,4,2.0,1,1,5.0
20,22,20,2860.0,0.0,0.0,0.0,0.0,0.0,2860.0,4.0,0,2.0,4.0,0.0,0.0,0.0,270.0,40.0,2002,1,20,57,1,0,12.0,1,1,3,1,2,3,2.0,3,3,4.75
21,23,20,2860.0,0.0,0.0,0.0,0.0,0.0,2860.0,4.0,0,2.0,4.0,0.0,0.0,0.0,270.0,40.0,2003,0,11,23,1,0,12.0,1,1,3,1,1,3,2.0,3,1,4.25
22,24,20,2860.0,0.0,0.0,0.0,0.0,0.0,2860.0,4.0,0,2.0,4.0,0.0,0.0,0.0,270.0,40.0,2004,0,12,20,1,0,12.0,1,1,3,1,1,2,4.0,3,1,4.75
23,25,22,6100.0,0.0,0.0,0.0,30.0,0.0,6130.0,4.0,0,1.0,3.0,0.0,2.0,0.0,200.0,200.0,2201,1,10,42,1,0,9.0,8,1,3,1,2,2,4.0,3,3,5.0
24,26,22,6100.0,0.0,0.0,0.0,30.0,0.0,6130.0,4.0,0,1.0,3.0,0.0,2.0,0.0,200.0,200.0,2202,0,20,48,1,0,12.0,8,1,3,1,2,2,4.0,1,1,5.0
25,27,22,6100.0,0.0,0.0,0.0,30.0,0.0,6130.0,4.0,0,1.0,3.0,0.0,2.0,0.0,200.0,200.0,2203,0,11,15,1,0,6.0,8,0,3,1,1,2,1.0,3,3,4.25
26,28,24,0.0,0.0,0.0,0.0,498.0,0.0,498.0,1.0,0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,2402,1,10,82,1,0,6.0,12,0,3,3,5,4,4.0,3,3,6.0
27,29,27,3240.0,0.0,0.0,174.0,1394.0,0.0,4808.0,1.0,0,4.0,2.0,0.0,0.0,0.0,100.0,0.0,2702,1,10,77,1,0,6.0,1,1,1,3,5,5,4.0,3,3,10.0
28,30,28,0.0,0.0,0.0,0.0,1274.0,0.0,1274.0,1.0,0,4.0,4.0,0.0,0.0,0.0,50.0,0.0,2802,1,10,80,1,0,6.0,1,0,3,3,5,4,1.0,3,3,6.0
29,31,31,0.0,0.0,0.0,0.0,1828.0,0.0,1828.0,2.0,0,1.0,4.0,0.0,0.0,0.0,120.0,0.0,3101,0,10,76,1,0,9.0,1,0,3,1,2,3,1.0,3,3,6.5
30,32,31,0.0,0.0,0.0,0.0,1828.0,0.0,1828.0,2.0,0,1.0,4.0,0.0,0.0,0.0,120.0,0.0,3102,1,20,68,1,0,9.0,1,0,3,1,2,3,1.0,3,3,4.5
31,33,8815,3530.0,0.0,0.0,0.0,0.0,0.0,3530.0,1.0,0,1.0,2.0,0.0,0.0,0.0,200.0,70.0,3103,0,10,42,1,0,12.0,5,1,3,1,1,2,4.0,3,3,6.0
32,34,32,1580.0,0.0,3360.0,0.0,100.0,0.0,5040.0,3.0,0,1.0,5.0,0.0,0.0,0.0,280.0,0.0,3201,0,10,76,1,0,12.0,1,0,3,1,2,4,1.0,2,3,8.75
33,35,32,1580.0,0.0,3360.0,0.0,100.0,0.0,5040.0,3.0,0,1.0,5.0,0.0,0.0,0.0,280.0,0.0,3202,1,20,69,1,0,9.0,1,0,3,1,2,4,1.0,3,3,9.5
34,36,8295,850.0,0.0,0.0,0.0,354.0,0.0,1204.0,4.0,0,2.0,4.0,2.0,0.0,0.0,141.0,0.0,3204,0,10,43,1,0,12.0,1,1,3,1,2,2,4.0,2,3,6.0
35,37,32,1580.0,0.0,3360.0,0.0,100.0,0.0,5040.0,3.0,0,1.0,5.0,0.0,0.0,0.0,280.0,0.0,3206,1,12,43,1,0,12.0,1,1,3,1,4,2,4.0,3,3,8.0
36,38,33,5700.0,0.0,0.0,0.0,30.0,180.0,5910.0,3.0,0,1.0,4.0,0.0,0.0,1.0,370.0,60.0,3301,0,10,59,1,0,12.0,1,1,3,1,2,3,4.0,2,1,7.25
37,39,33,5700.0,0.0,0.0,0.0,30.0,180.0,5910.0,3.0,0,1.0,4.0,0.0,0.0,1.0,370.0,60.0,3302,1,20,52,1,0,9.0,1,1,3,2,2,3,1.0,3,1,6.0
